qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1780124,62907,1843031
fc_a_001,ABD,10687,432,11119
fc_a_002,ABD,9613,4157,13770
fc_a_003,B,19870,511,20381
fc_a_004,ABD,28639,2195,30834
fc_a_005,ABCD,12942,423,13365
fc_a_006,A,9440,348,9788
fc_a_007,BD,9486,533,10019
fc_a_008,B,18438,939,19377
fc_a_009,ABD,13452,473,13925
fc_a_010,A,6907,257,7164
fc_a_011,ABD,10899,399,11298
fc_a_012,ACD,21713,655,22368
fc_a_013,A,11666,252,11918
fc_a_014,AC,20877,808,21685
fc_a_015,B,11216,479,11695
fc_a_016,ABC,18258,582,18840
fc_a_017,AD,17011,534,17545
fc_a_018,A,36601,625,37226
fc_a_019,BD,18066,610,18676
fc_a_020,BD,19470,600,20070
fin_a_001,AB,15892,506,16398
fin_a_002,ABD,14824,577,15401
fin_a_003,A,13772,311,14083
fin_a_004,BD,33643,898,34541
fin_a_005,AB,29410,736,30146
fin_a_006,A,10332,288,10620
fin_a_007,ABD,13790,577,14367
fin_a_008,D,15793,1295,17088
fin_a_009,ABC,18460,581,19041
fin_a_010,A,14117,1629,15746
fin_a_011,ACD,20714,625,21339
fin_a_012,AD,12679,863,13542
fin_a_013,A,28155,858,29013
fin_a_014,B,20909,543,21452
fin_a_015,B,36046,580,36626
fin_a_016,ABD,17619,460,18079
fin_a_017,AC,16883,405,17288
fin_a_018,A,29798,833,30631
fin_a_019,AB,19362,505,19867
fin_a_020,B,33748,681,34429
ins_a_001,B,12602,879,13481
ins_a_002,A,14917,509,15426
ins_a_003,D,38699,794,39493
ins_a_004,A,24924,640,25564
ins_a_005,ABCD,16463,481,16944
ins_a_006,C,22077,598,22675
ins_a_007,BC,27570,606,28176
ins_a_008,AC,33715,1446,35161
ins_a_009,C,19124,517,19641
ins_a_010,ABCD,24562,585,25147
ins_a_011,BC,19403,468,19871
ins_a_012,A,28673,758,29431
ins_a_013,A,13392,419,13811
ins_a_014,ABD,22873,1528,24401
ins_a_015,BD,26764,679,27443
ins_a_016,CD,29836,772,30608
ins_a_017,ABCD,13766,368,14134
ins_a_018,BD,31698,1048,32746
ins_a_019,ABD,24166,581,24747
ins_a_020,D,40926,1409,42335
reg_a_001,AC,13024,557,13581
reg_a_002,ABC,7965,398,8363
reg_a_003,A,6073,230,6303
reg_a_004,ABC,8272,422,8694
reg_a_005,ABC,9384,436,9820
reg_a_006,A,7518,208,7726
reg_a_007,ACD,9973,405,10378
reg_a_008,A,13901,790,14691
reg_a_009,ABD,9782,424,10206
reg_a_010,B,7017,191,7208
reg_a_011,ACD,10291,403,10694
reg_a_012,ABD,13463,543,14006
reg_a_013,A,6119,222,6341
reg_a_014,ABD,6856,554,7410
reg_a_015,C,6526,401,6927
reg_a_016,ABD,8509,419,8928
reg_a_017,AB,11100,488,11588
reg_a_018,A,8469,204,8673
reg_a_019,ABD,9983,528,10511
reg_a_020,ABD,7839,335,8174
res_a_001,ABC,12461,561,13022
res_a_002,AC,23928,799,24727
res_a_003,A,10166,247,10413
res_a_004,ABC,17209,425,17634
res_a_005,ABC,15977,397,16374
res_a_006,A,14622,214,14836
res_a_007,AB,16285,754,17039
res_a_008,A,19269,479,19748
res_a_009,ABC,21251,446,21697
res_a_010,A,14327,417,14744
res_a_011,ABC,23826,462,24288
res_a_012,ABC,19704,526,20230
res_a_013,B,10847,265,11112
res_a_014,ABC,14468,454,14922
res_a_015,A,27618,510,28128
res_a_016,ACD,25733,587,26320
res_a_017,ABD,13144,882,14026
res_a_018,A,22153,250,22403
res_a_019,A,30780,808,31588
res_a_020,AD,16945,618,17563
