qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1156429,72155,1228584
fc_a_001,ABD,6940,400,7340
fc_a_002,AD,5682,2132,7814
fc_a_003,B,10658,424,11082
fc_a_004,AD,8410,1719,10129
fc_a_005,ABD,7637,439,8076
fc_a_006,A,6137,444,6581
fc_a_007,BD,10233,599,10832
fc_a_008,B,10927,1052,11979
fc_a_009,ABD,8492,474,8966
fc_a_010,A,5831,232,6063
fc_a_011,ABD,7116,425,7541
fc_a_012,ACD,14054,655,14709
fc_a_013,A,8089,431,8520
fc_a_014,A,14097,694,14791
fc_a_015,B,6886,494,7380
fc_a_016,ABCD,13208,1457,14665
fc_a_017,D,10433,721,11154
fc_a_018,A,19919,503,20422
fc_a_019,BD,12225,495,12720
fc_a_020,AB,11038,1035,12073
fin_a_001,AB,8877,501,9378
fin_a_002,ABD,10422,542,10964
fin_a_003,A,8274,352,8626
fin_a_004,BD,18943,759,19702
fin_a_005,ABD,17186,839,18025
fin_a_006,A,6540,293,6833
fin_a_007,ABD,7929,530,8459
fin_a_008,A,9322,1133,10455
fin_a_009,ABC,15892,605,16497
fin_a_010,A,28520,5798,34318
fin_a_011,ACD,10545,686,11231
fin_a_012,BCD,8673,2740,11413
fin_a_013,A,9165,273,9438
fin_a_014,B,15100,515,15615
fin_a_015,C,20580,611,21191
fin_a_016,ABD,8973,440,9413
fin_a_017,AC,10862,408,11270
fin_a_018,A,19167,608,19775
fin_a_019,AB,10911,438,11349
fin_a_020,B,20810,595,21405
ins_a_001,B,8156,909,9065
ins_a_002,A,8435,443,8878
ins_a_003,D,26465,809,27274
ins_a_004,A,24077,749,24826
ins_a_005,ABCD,16542,561,17103
ins_a_006,C,15716,1874,17590
ins_a_007,BC,16562,645,17207
ins_a_008,AC,21074,826,21900
ins_a_009,C,11417,492,11909
ins_a_010,AB,13211,1162,14373
ins_a_011,BC,11593,423,12016
ins_a_012,A,17488,629,18117
ins_a_013,A,8450,396,8846
ins_a_014,AB,22775,716,23491
ins_a_015,AB,17989,1185,19174
ins_a_016,CD,19823,2476,22299
ins_a_017,ABC,11815,486,12301
ins_a_018,BCD,8547,939,9486
ins_a_019,AB,13863,645,14508
ins_a_020,B,16157,884,17041
reg_a_001,AC,8662,563,9225
reg_a_002,ABC,4452,405,4857
reg_a_003,A,4569,176,4745
reg_a_004,ABC,9805,476,10281
reg_a_005,ABC,5714,448,6162
reg_a_006,A,4733,208,4941
reg_a_007,ACD,6479,380,6859
reg_a_008,A,10271,803,11074
reg_a_009,ABD,5614,428,6042
reg_a_010,B,5442,254,5696
reg_a_011,ACD,11379,495,11874
reg_a_012,ABD,9745,549,10294
reg_a_013,A,3962,222,4184
reg_a_014,ABD,4441,558,4999
reg_a_015,C,4241,398,4639
reg_a_016,ABD,9176,583,9759
reg_a_017,ABC,13016,1391,14407
reg_a_018,A,4842,201,5043
reg_a_019,ABD,6821,494,7315
reg_a_020,ABD,5002,335,5337
res_a_001,ABC,8348,509,8857
res_a_002,AC,15244,767,16011
res_a_003,A,15334,701,16035
res_a_004,ABC,9663,432,10095
res_a_005,ABC,8570,463,9033
res_a_006,A,11045,214,11259
res_a_007,AB,10201,485,10686
res_a_008,A,12407,574,12981
res_a_009,ABC,9939,1129,11068
res_a_010,A,12626,402,13028
res_a_011,ABC,16201,522,16723
res_a_012,ABC,10298,510,10808
res_a_013,B,8689,265,8954
res_a_014,ABC,8772,446,9218
res_a_015,A,15814,500,16314
res_a_016,ACD,17913,527,18440
res_a_017,AD,16084,1498,17582
res_a_018,A,12353,235,12588
res_a_019,A,12693,756,13449
res_a_020,AC,11011,1113,12124
