qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1272044,65525,1337569
fc_a_001,ABD,7795,425,8220
fc_a_002,ABD,6428,661,7089
fc_a_003,B,11383,347,11730
fc_a_004,A,9112,428,9540
fc_a_005,ABD,8385,496,8881
fc_a_006,A,5388,270,5658
fc_a_007,BD,11325,550,11875
fc_a_008,B,11955,1031,12986
fc_a_009,ABD,9226,494,9720
fc_a_010,A,6143,244,6387
fc_a_011,ABD,7574,371,7945
fc_a_012,ACD,10868,478,11346
fc_a_013,B,15834,506,16340
fc_a_014,A,15516,716,16232
fc_a_015,B,7408,2245,9653
fc_a_016,ABC,14173,746,14919
fc_a_017,AD,12284,507,12791
fc_a_018,A,19277,1184,20461
fc_a_019,BD,14085,1116,15201
fc_a_020,ABD,13140,560,13700
fin_a_001,AB,9303,524,9827
fin_a_002,ABD,11448,532,11980
fin_a_003,A,8599,331,8930
fin_a_004,BD,21102,755,21857
fin_a_005,AB,17825,590,18415
fin_a_006,A,7924,662,8586
fin_a_007,ABD,16076,756,16832
fin_a_008,A,19825,620,20445
fin_a_009,ABC,17866,610,18476
fin_a_010,A,10329,1014,11343
fin_a_011,ACD,11967,789,12756
fin_a_012,BD,9852,555,10407
fin_a_013,A,9902,307,10209
fin_a_014,B,20275,683,20958
fin_a_015,B,23922,535,24457
fin_a_016,ABD,9800,450,10250
fin_a_017,AC,11451,409,11860
fin_a_018,A,20704,2820,23524
fin_a_019,AB,11645,429,12074
fin_a_020,B,22482,948,23430
ins_a_001,B,8583,878,9461
ins_a_002,A,8857,486,9343
ins_a_003,D,27413,881,28294
ins_a_004,A,13676,720,14396
ins_a_005,ABCD,17552,578,18130
ins_a_006,C,16212,2434,18646
ins_a_007,BC,17570,605,18175
ins_a_008,AC,22086,667,22753
ins_a_009,C,12353,530,12883
ins_a_010,AB,15684,1501,17185
ins_a_011,BC,12095,437,12532
ins_a_012,A,18424,662,19086
ins_a_013,A,8948,439,9387
ins_a_014,AB,23781,744,24525
ins_a_015,AB,20725,2408,23133
ins_a_016,CD,20825,768,21593
ins_a_017,ABCD,8563,382,8945
ins_a_018,BCD,16835,852,17687
ins_a_019,AB,14873,714,15587
ins_a_020,D,30674,1160,31834
reg_a_001,AC,9808,556,10364
reg_a_002,ABC,5025,406,5431
reg_a_003,A,5762,263,6025
reg_a_004,ABC,11145,485,11630
reg_a_005,ABC,6287,454,6741
reg_a_006,A,5605,229,5834
reg_a_007,ACD,7072,380,7452
reg_a_008,A,6674,384,7058
reg_a_009,ABD,6187,396,6583
reg_a_010,B,7120,228,7348
reg_a_011,AC,13323,575,13898
reg_a_012,ABD,10891,518,11409
reg_a_013,B,10356,414,10770
reg_a_014,ABD,5014,1343,6357
reg_a_015,C,4814,379,5193
reg_a_016,ABD,10322,587,10909
reg_a_017,AB,13123,707,13830
reg_a_018,A,6062,230,6292
reg_a_019,ABD,7391,482,7873
reg_a_020,ABD,5569,334,5903
res_a_001,ABC,8810,457,9267
res_a_002,AC,14961,925,15886
res_a_003,A,8138,337,8475
res_a_004,AB,10091,375,10466
res_a_005,ABC,9011,409,9420
res_a_006,A,10929,217,11146
res_a_007,AB,10647,551,11198
res_a_008,A,13325,528,13853
res_a_009,ABC,16852,444,17296
res_a_010,A,14762,395,15157
res_a_011,ABC,17320,461,17781
res_a_012,ABC,11228,464,11692
res_a_013,B,9035,244,9279
res_a_014,ABC,9237,760,9997
res_a_015,A,16750,545,17295
res_a_016,ACD,18921,517,19438
res_a_017,AD,17244,646,17890
res_a_018,A,10572,203,10775
res_a_019,AB,29905,1066,30971
res_a_020,A,11431,1091,12522
