qid,domain,format,current,reference,confidence,correct
fc_a_003,financial_contracts,tf,B,B,consensus,correct
fc_a_006,financial_contracts,tf,A,A,consensus,correct
fc_a_007,financial_contracts,multi,BD,BD,consensus,correct
fc_a_008,financial_contracts,mcq,B,B,consensus,correct
fc_a_009,financial_contracts,multi,ABD,ABD,consensus,correct
fc_a_010,financial_contracts,tf,A,A,consensus,correct
fc_a_011,financial_contracts,multi,ABD,ABD,consensus,correct
fc_a_012,financial_contracts,multi,ACD,ACD,consensus,correct
fc_a_013,financial_contracts,tf,B,A,consensus,wrong
fc_a_015,financial_contracts,mcq,B,B,consensus,correct
fc_a_018,financial_contracts,tf,A,A,consensus,correct
fc_a_019,financial_contracts,multi,BD,BD,consensus,correct
fin_a_001,financial_reports,multi,AB,AB,consensus,correct
fin_a_002,financial_reports,multi,ABD,ABD,consensus,correct
fin_a_003,financial_reports,tf,A,A,consensus,correct
fin_a_004,financial_reports,multi,BD,BD,consensus,correct
fin_a_006,financial_reports,tf,A,A,consensus,correct
fin_a_007,financial_reports,multi,ABD,ABD,consensus,correct
fin_a_009,financial_reports,multi,ABC,ABC,consensus,correct
fin_a_011,financial_reports,multi,ACD,ACD,consensus,correct
fin_a_013,financial_reports,tf,A,A,consensus,correct
fin_a_014,financial_reports,multi,B,B,consensus,correct
fin_a_016,financial_reports,multi,ABD,ABD,consensus,correct
fin_a_017,financial_reports,multi,AC,AC,consensus,correct
fin_a_018,financial_reports,tf,A,A,consensus,correct
fin_a_019,financial_reports,multi,AB,AB,consensus,correct
fin_a_020,financial_reports,multi,B,B,consensus,correct
ins_a_001,insurance,mcq,B,B,consensus,correct
ins_a_002,insurance,mcq,A,A,consensus,correct
ins_a_003,insurance,mcq,D,D,consensus,correct
ins_a_004,insurance,mcq,A,A,consensus,correct
ins_a_005,insurance,multi,ABCD,ABCD,consensus,correct
ins_a_006,insurance,mcq,C,C,consensus,correct
ins_a_007,insurance,multi,C,BC,consensus,wrong
ins_a_008,insurance,multi,AC,AC,consensus,correct
ins_a_011,insurance,multi,BC,BC,consensus,correct
ins_a_012,insurance,multi,A,A,consensus,correct
ins_a_013,insurance,mcq,A,A,consensus,correct
ins_a_016,insurance,multi,CD,CD,consensus,correct
reg_a_001,regulatory,multi,AC,AC,consensus,correct
reg_a_002,regulatory,multi,ABC,ABC,consensus,correct
reg_a_003,regulatory,tf,A,A,consensus,correct
reg_a_004,regulatory,multi,ABC,ABC,consensus,correct
reg_a_005,regulatory,multi,ABC,ABC,consensus,correct
reg_a_006,regulatory,tf,A,A,consensus,correct
reg_a_007,regulatory,multi,ACD,ACD,consensus,correct
reg_a_008,regulatory,mcq,A,A,consensus,correct
reg_a_009,regulatory,multi,ABD,ABD,consensus,correct
reg_a_010,regulatory,tf,B,B,consensus,correct
reg_a_011,regulatory,multi,ACD,ACD,consensus,correct
reg_a_012,regulatory,multi,ABD,ABD,consensus,correct
reg_a_013,regulatory,tf,B,A,consensus,wrong
reg_a_014,regulatory,multi,ABD,ABD,consensus,correct
reg_a_015,regulatory,mcq,C,C,consensus,correct
reg_a_016,regulatory,multi,ABD,ABD,consensus,correct
reg_a_018,regulatory,tf,A,A,consensus,correct
reg_a_019,regulatory,multi,ABD,ABD,consensus,correct
reg_a_020,regulatory,multi,ABD,ABD,consensus,correct
res_a_001,research,multi,ABC,ABC,consensus,correct
res_a_002,research,multi,ABC,AC,consensus,wrong
res_a_003,research,tf,A,A,consensus,correct
res_a_004,research,multi,ABC,ABC,consensus,correct
res_a_005,research,multi,ABC,ABC,consensus,correct
res_a_006,research,tf,A,A,consensus,correct
res_a_007,research,multi,AB,AB,consensus,correct
res_a_008,research,mcq,A,A,consensus,correct
res_a_009,research,multi,ABC,ABC,consensus,correct
res_a_010,research,tf,A,A,consensus,correct
res_a_011,research,multi,ABC,ABC,consensus,correct
res_a_012,research,multi,ABC,ABC,consensus,correct
res_a_013,research,tf,B,B,consensus,correct
res_a_014,research,multi,ABC,ABC,consensus,correct
res_a_015,research,mcq,A,A,consensus,correct
res_a_016,research,multi,ACD,ACD,consensus,correct
res_a_018,research,tf,A,A,consensus,correct
res_a_019,research,multi,A,A,consensus,correct
