qid,answer,decision_rule
fc_a_001,ABD,majority
fc_a_002,ABD,majority
fc_a_003,A,majority
fc_a_004,AD,longest_shrinkage_fallback
fc_a_005,ABD,majority
fc_a_006,A,majority
fc_a_007,BD,majority
fc_a_008,B,majority
fc_a_009,ABD,majority
fc_a_010,A,majority
fc_a_011,ABD,longest_shrinkage_fallback
fc_a_012,ACD,majority
fc_a_013,A,majority
fc_a_014,A,majority
fc_a_015,B,majority
fc_a_016,ABC,majority
fc_a_017,AD,majority
fc_a_018,A,majority
fc_a_019,AB,majority
fc_a_020,ABD,majority
fin_a_001,AB,majority
fin_a_002,ABD,majority
fin_a_003,A,majority
fin_a_004,ABD,majority
fin_a_005,ABD,longest_shrinkage_fallback
fin_a_006,A,majority
fin_a_007,ABD,majority
fin_a_008,A,majority
fin_a_009,ABC,majority
fin_a_010,A,majority
fin_a_011,ACD,majority
fin_a_012,ABD,majority
fin_a_013,A,majority
fin_a_014,AB,majority
fin_a_015,B,majority
fin_a_016,ABD,majority
fin_a_017,AC,majority
fin_a_018,A,majority
fin_a_019,AB,majority
fin_a_020,AB,majority
ins_a_001,B,majority
ins_a_002,A,majority
ins_a_003,A,majority
ins_a_004,A,majority
ins_a_005,ABCD,majority
ins_a_006,C,majority
ins_a_007,BC,majority
ins_a_008,AC,majority
ins_a_009,C,majority
ins_a_010,AB,majority
ins_a_011,BC,majority
ins_a_012,A,majority
ins_a_013,A,majority
ins_a_014,AB,majority
ins_a_015,AB,majority
ins_a_016,CD,majority
ins_a_017,ABCD,majority
ins_a_018,BCD,majority
ins_a_019,ABD,longest_shrinkage_fallback
ins_a_020,D,majority
reg_a_001,ACD,longest_shrinkage_fallback
reg_a_002,ABC,majority
reg_a_003,A,majority
reg_a_004,ABC,majority
reg_a_005,ABC,majority
reg_a_006,A,majority
reg_a_007,ACD,majority
reg_a_008,A,majority
reg_a_009,ABD,majority
reg_a_010,B,majority
reg_a_011,ACD,longest_shrinkage_fallback
reg_a_012,ABD,majority
reg_a_013,A,majority
reg_a_014,ABD,majority
reg_a_015,C,majority
reg_a_016,ABD,majority
reg_a_017,ABC,longest_shrinkage_fallback
reg_a_018,A,majority
reg_a_019,ABD,majority
reg_a_020,ABD,majority
res_a_001,ABC,majority
res_a_002,ABC,majority
res_a_003,A,majority
res_a_004,ABC,longest_shrinkage_fallback
res_a_005,ABC,majority
res_a_006,A,majority
res_a_007,ABC,longest_shrinkage_fallback
res_a_008,A,majority
res_a_009,ABC,majority
res_a_010,A,majority
res_a_011,ABC,majority
res_a_012,ABC,majority
res_a_013,B,majority
res_a_014,ABC,majority
res_a_015,A,majority
res_a_016,ACD,majority
res_a_017,ABD,majority
res_a_018,A,majority
res_a_019,AB,majority
res_a_020,AD,longest_shrinkage_fallback
